//Scripts must contain 6 fields with a | character between them
1) messageBox containing the record to be checked
2) check type (contains, match, startsWith, endsWith, contains, startsAndEndsWith (in which case the string must also contain a # to indicate the break) or nothing)
3) value to be looked for in the messageBox
4) action to be taken (playVideo, playAudio, log)
5) Path to the data file required for the action (relative to main folder configured in #####) - paths can use either \ or / characters.

//Testing
//tb_Message1|contains|low|playAudio|Data\Audio\Flyby.wav|
tb_Message1|contains|high|playAudio|Data\Audio\Thud.wav|

//Funeral
tb_Message2|match|Company...|playAudio|Data/Voice/Funeral/funpc0009.wav|
tb_Message2|match|Atten-SHUN!|playAudio|Data/Voice/Funeral/funmi1.wav|
tb_Message2|match|Prepare arms!|playAudio|Data/Voice/Funeral/funmi2.wav|
tb_Message2|match|Fire!|playAudio|Data/Voice/Funeral/funpc0011.wav|
tb_Message1|startsAndEndsWith|We are gathered here to pay tribute to one of our own, 2ND LT. #.|playAudio|Data/Voice/Funeral/funpc0000.wav|
tb_Message1|startsAndEndsWith|We are gathered here to pay tribute to one of our own, 1ST LT. #.|playAudio|Data/Voice/Funeral/funpc0001.wav|
tb_Message1|startsAndEndsWith|We are gathered here to pay tribute to one of our own, CAPTAIN #.|playAudio|Data/Voice/Funeral/funpc0002.wav|
tb_Message1|startsAndEndsWith|We are gathered here to pay tribute to one of our own, MAJOR #.|playAudio|Data/Voice/Funeral/funpc0003.wav|
tb_Message1|startsAndEndsWith|We are gathered here to pay tribute to one of our own, LT. COL. #.|playAudio|Data/Voice/Funeral/funpc0004.wav|
tb_Message1|startsAndEndsWith|We are gathered here to pay tribute to one of our own, COL. #.|playAudio|Data/Voice/Funeral/funpc0005.wav|

tb_Message1|match|It is always sad to lose a pilot...|playAudio|Data/Voice/Funeral/funpc0006.wav|
tb_Message1|startsAndEndsWith|... but it is especially difficult when he is as young as #.|playAudio|Data/Voice/Funeral/funpc0007.wav|
tb_Message1|match|He died without even a chance to prove himself.|playAudio|Data/Voice/Funeral/funpc0008.wav|
tb_Message1|startsAndEndsWith|Farewell, #. You'll be missed.|playAudio|Data/Voice/Funeral/funpc0010.wav|
tb_Message1|startsAndEndsWith|In just a few missions, # began what would surely have been a brilliant career.|playAudio|Data/Voice/Funeral/funpc0013.wav|
tb_Message1|match|Now that career has been cut short.|playAudio|Data/Voice/Funeral/funpc0014.wav|
tb_Message1|startsAndEndsWith|Who can say what # might have accomplished for the Confederation?|playAudio|Data/Voice/Funeral/funpc0015.wav|
tb_Message1|startsAndEndsWith|Without a doubt, # was one of the Confederation's finest pilots.|playAudio|Data/Voice/Funeral/funpc0016.wav|
tb_Message1|match|Time after time, he led the Confederation forces to victory.|playAudio|Data/Voice/Funeral/funpc0017.wav|
tb_Message1|match|Now, as the Kilrathi enemy begins to flee the Vega Sector we bid farewell to a true hero.|playAudio|Data/Voice/Funeral/funpc0018.wav|
tb_Message1|match|As we all know, the campaign for the Vega Sector has been long and hard.|playAudio|Data/Voice/Funeral/funpc0019.wav|
tb_Message1|startsAndEndsWith|No one fought harder to hold back the advancing Kilrathi horde than #.|playAudio|Data/Voice/Funeral/funpc0020.wav|
tb_Message1|match|Now he has made the ultimate sacrifice for the Confederation.|playAudio|Data/Voice/Funeral/funpc0021.wav|
tb_Message1|match|We are gathered here to pay our last respects to a good friend...|playAudio|Data/Voice/Funeral/funwm0000.wav|
tb_Message1|match|...and one of the Terran Confederation's boldest defenders.|playAudio|Data/Voice/Funeral/funwm0001.wav|
tb_Message1|match|Lieutenant Mariko Tanaka was one of our youngest pilots...|playAudio|Data/Voice/Funeral/funwm0002.wav|
tb_Message1|match|...but also one of our most promising.|playAudio|Data/Voice/Funeral/funwm0003.wav|
tb_Message1|match|Her death robs both our own hearts and the future of the Confederation.|playAudio|Data/Voice/Funeral/funwm0004.wav|
tb_Message1|match|Captain Ian St. John was the maverick of the Tiger's Claw.|playAudio|Data/Voice/Funeral/funwm0005.wav|
tb_Message1|match|He pushed us to look at things in new and different ways.|playAudio|Data/Voice/Funeral/funwm0006.wav|
tb_Message1|match|Now that we are without him, we must remember to keep an open mind...|playAudio|Data/Voice/Funeral/funwm0007.wav|
tb_Message1|match|...and look for unconventional responses to the Kilrathi challenge.|playAudio|Data/Voice/Funeral/funwm0008.wav|
tb_Message1|match|The Terran Confederation has lost one of its best leaders...|playAudio|Data/Voice/Funeral/funwm0009.wav|
tb_Message1|match|...Major Kien Chen, whom we all knew as Bossman.|playAudio|Data/Voice/Funeral/funwm0010.wav|
tb_Message1|match|Many of us, myself included, turned to Major Chen for advice from time to time.|playAudio|Data/Voice/Funeral/funwm0011.wav|
tb_Message1|match|Now we must find our own answers.|playAudio|Data/Voice/Funeral/funwm0012.wav|
tb_Message1|match|Major Michael Casey was easily one of our most brilliant pilots.|playAudio|Data/Voice/Funeral/funwm0013.wav|
tb_Message1|match|Though he rarely opened his heart to his fellow officers...|playAudio|Data/Voice/Funeral/funwm0014.wav|
tb_Message1|match|...I feel sure that he would have wanted to die as he did...|playAudio|Data/Voice/Funeral/funwm0015.wav|
tb_Message1|match|...in combat with the Kilrathi, at the controls of a starfighter.|playAudio|Data/Voice/Funeral/funwm0016.wav|
tb_Message1|match|We are here to bid farewell to Captain Jeannette Devereaux...|playAudio|Data/Voice/Funeral/funwm0017.wav|
tb_Message1|match|...our friend and comrade-at-arms.|playAudio|Data/Voice/Funeral/funwm0018.wav|
tb_Message1|match|The Tiger's Claw will miss both her piloting skills...|playAudio|Data/Voice/Funeral/funwm0019.wav|
tb_Message1|match|...and her fiery devotion to the Terran Confederation.|playAudio|Data/Voice/Funeral/funwm0020.wav|
